identifier,permno/dscd,region
551,10552,usa
552,10553,usa
553,10554,usa
554,10555,usa
555,10556,usa
556,10557,usa
557,10558,usa
558,10559,usa
559,10560,usa
560,10561,usa
561,10562,usa
562,10563,usa
563,10564,usa
564,10565,usa
565,10566,usa
566,10567,usa
567,10568,usa
568,10569,usa
569,10570,usa
570,10571,usa
571,10572,usa
572,10573,usa
573,10574,usa
574,10575,usa
575,10576,usa
576,10577,usa
577,10578,usa
578,10579,usa
579,10580,usa
580,10581,usa
581,10582,usa
582,10583,usa
583,10584,usa
584,10585,usa
585,10586,usa
586,10587,usa
587,10588,usa
588,10589,usa
589,10590,usa
590,10591,usa
591,10592,usa
592,10593,usa
593,10594,usa
594,10595,usa
595,10596,usa
596,10597,usa
597,10598,usa
598,10599,usa
599,10600,usa
600,10601,usa
601,10602,usa
602,10603,usa
603,10604,usa
604,10605,usa
605,10606,usa
606,10607,usa
607,10608,usa
608,10609,usa
609,10610,usa
610,10611,usa
611,10612,usa
612,10613,usa
613,10614,usa
614,10615,usa
615,10616,usa
616,10617,usa
617,10618,usa
618,10619,usa
619,10620,usa
620,10621,usa
621,10622,usa
622,10623,usa
623,10624,usa
624,10625,usa
625,10626,usa
626,10627,usa
627,10628,usa
628,10629,usa
629,10630,usa
630,10631,usa
631,10632,usa
632,10633,usa
633,10634,usa
634,10635,usa
635,10636,usa
636,10637,usa
637,10638,usa
638,10639,usa
639,10640,usa
640,10641,usa
641,10642,usa
642,10643,usa
643,10644,usa
644,10645,usa
645,10646,usa
646,10647,usa
647,10648,usa
648,10649,usa
649,10650,usa
650,10651,usa
651,10652,usa
652,10653,usa
653,10654,usa
654,10655,usa
655,10656,usa
656,10657,usa
657,10658,usa
658,10659,usa
659,10660,usa
660,10661,usa
661,10662,usa
662,10663,usa
663,10664,usa
664,10665,usa
665,10666,usa
666,10667,usa
667,10668,usa
668,10669,usa
669,10670,usa
670,10671,usa
671,10672,usa
672,10673,usa
673,10674,usa
674,10675,usa
675,10676,usa
676,10677,usa
677,10678,usa
678,10679,usa
679,10680,usa
680,10681,usa
681,10682,usa
682,10683,usa
683,10684,usa
684,10685,usa
685,10686,usa
686,10687,usa
687,10688,usa
688,10689,usa
689,10690,usa
690,10691,usa
691,10692,usa
692,10693,usa
693,10694,usa
694,10695,usa
695,10696,usa
696,10697,usa
697,10698,usa
698,10699,usa
699,10700,usa
700,10701,usa
701,10702,usa
702,10703,usa
703,10704,usa
704,10705,usa
705,10706,usa
706,10707,usa
707,10708,usa
708,10709,usa
709,10710,usa
710,10711,usa
711,10712,usa
712,10713,usa
713,10714,usa
714,10715,usa
715,10716,usa
716,10717,usa
717,10718,usa
718,10719,usa
719,10720,usa
720,10721,usa
721,10722,usa
722,10723,usa
723,10724,usa
724,10725,usa
725,10726,usa
726,10727,usa
727,10728,usa
728,10729,usa
729,10730,usa
730,10731,usa
731,10732,usa
732,10733,usa
733,10734,usa
734,10735,usa
735,10736,usa
736,10737,usa
737,10738,usa
738,10739,usa
739,10740,usa
740,10741,usa
741,10742,usa
742,10743,usa
743,10744,usa
744,10745,usa
745,10746,usa
746,10747,usa
747,10748,usa
748,10749,usa
749,10750,usa
750,10751,usa
751,10752,usa
752,10753,usa
753,10754,usa
754,10755,usa
755,10756,usa
756,10757,usa
757,10758,usa
758,10759,usa
759,10760,usa
760,10761,usa
761,10762,usa
762,10763,usa
763,10764,usa
764,10765,usa
765,10766,usa
766,10767,usa
767,10768,usa
768,10769,usa
769,10770,usa
770,10771,usa
771,10772,usa
772,10773,usa
773,10774,usa
774,10775,usa
775,10776,usa
776,10777,usa
777,10778,usa
778,10779,usa
779,10780,usa
780,10781,usa
781,10782,usa
782,10783,usa
783,10784,usa
784,10785,usa
785,10786,usa
786,10787,usa
787,10788,usa
788,10789,usa
789,10790,usa
790,10791,usa
791,10792,usa
792,10793,usa
793,10794,usa
794,10795,usa
795,10796,usa
796,10797,usa
797,10798,usa
798,10799,usa
799,10800,usa
800,10801,usa
801,10802,usa
802,10803,usa
803,10804,usa
804,10805,usa
805,10806,usa
806,10807,usa
807,10808,usa
808,10809,usa
809,10810,usa
810,10811,usa
811,10812,usa
812,10813,usa
813,10814,usa
814,10815,usa
815,10816,usa
816,10817,usa
817,10818,usa
818,10819,usa
819,10820,usa
820,10821,usa
821,10822,usa
822,10823,usa
823,10824,usa
824,10825,usa
825,10826,usa
826,10827,usa
827,10828,usa
828,10829,usa
829,10830,usa
830,10831,usa
831,10832,usa
832,10833,usa
833,10834,usa
834,10835,usa
835,10836,usa
836,10837,usa
837,10838,usa
838,10839,usa
839,10840,usa
840,10841,usa
841,10842,usa
842,10843,usa
843,10844,usa
844,10845,usa
845,10846,usa
846,10847,usa
847,10848,usa
848,10849,usa
849,10850,usa
850,10851,usa
851,10852,usa
852,10853,usa
853,10854,usa
854,10855,usa
855,10856,usa
856,10857,usa
857,10858,usa
858,10859,usa
859,10860,usa
860,10861,usa
861,10862,usa
862,10863,usa
863,10864,usa
864,10865,usa
865,10866,usa
866,10867,usa
867,10868,usa
868,10869,usa
869,10870,usa
870,10871,usa
871,10872,usa
872,10873,usa
873,10874,usa
874,10875,usa
875,10876,usa
876,10877,usa
877,10878,usa
878,10879,usa
879,10880,usa
880,10881,usa
881,10882,usa
882,10883,usa
883,10884,usa
884,10885,usa
885,10886,usa
886,10887,usa
887,10888,usa
888,10889,usa
889,10890,usa
890,10891,usa
891,10892,usa
892,10893,usa
893,10894,usa
894,10895,usa
895,10896,usa
896,10897,usa
897,10898,usa
898,10899,usa
899,10900,usa
900,10901,usa
901,10902,usa
902,10903,usa
903,10904,usa
904,10905,usa
905,10906,usa
906,10907,usa
907,10908,usa
908,10909,usa
909,10910,usa
910,10911,usa
911,10912,usa
912,10913,usa
913,10914,usa
914,10915,usa
915,10916,usa
916,10917,usa
917,10918,usa
918,10919,usa
919,10920,usa
920,10921,usa
921,10922,usa
922,10923,usa
923,10924,usa
924,10925,usa
925,10926,usa
926,10927,usa
927,10928,usa
928,10929,usa
929,10930,usa
930,10931,usa
931,10932,usa
932,10933,usa
933,10934,usa
934,10935,usa
935,10936,usa
936,10937,usa
937,10938,usa
938,10939,usa
939,10940,usa
940,10941,usa
941,10942,usa
942,10943,usa
943,10944,usa
944,10945,usa
945,10946,usa
946,10947,usa
947,10948,usa
948,10949,usa
949,10950,usa
950,10951,usa
951,10952,usa
952,10953,usa
953,10954,usa
954,10955,usa
955,10956,usa
956,10957,usa
957,10958,usa
958,10959,usa
959,10960,usa
960,10961,usa
961,10962,usa
962,10963,usa
963,10964,usa
964,10965,usa
965,10966,usa
966,10967,usa
967,10968,usa
968,10969,usa
969,10970,usa
970,10971,usa
971,10972,usa
972,10973,usa
973,10974,usa
974,10975,usa
975,10976,usa
976,10977,usa
977,10978,usa
978,10979,usa
979,10980,usa
980,10981,usa
981,10982,usa
982,10983,usa
983,10984,usa
984,10985,usa
